#132 PC3-1-SC-E8
#132 PL12 SC-D1
#16-15
#40a
#490
#822
#G65G
(BF1) 8A3.31
+/+ (A)
+/+ (B)
+/+ (C)
+/+ Li
+/+ MGT
+/+ SCT
022HU-NSO
059-1.100.5
059-1.11.1
059-1.20.1
059-1.30.1
059-1.43.1
059-1.51.2
059-1.82.1
07-4D
1-10 [Mouse hybridoma against mouse Rnf2]
1-10 [Mouse hybridoma against ouabain]
1-10-1
1-11A
1-12
1-19-1
1-1A4
1-1D5
1-1ras1000
1-1src
1-2
1-2322-455
1-29-7
1-35-1
1-5-2
1-6
1-7
1-9
1-903-430
1-A2
1-A5
1-B1
1-F10
1-H4
1.1
1.1ASML
1.2C7
1.51
1.5A9
1.82
1.90.6
1/39
10(AAT) Clone A
10-1.D.2
10-2
10-2.16
10-25
10-3.6.2
10.1
10.1.1
10.11.3.9.2.3
10.16.1
10.2
10.2.8.2.3
10.84.2
10/12SN
10/16
10/78
10/8
10/9CRC1
100-310
1003-pK4 clone 8129
101A
1023F10
103.2
103B2
104-2
105A5
106.3
106A10
1083-17-1A
108CC15
108CC5
108CC5-BU
108CC5-BU-5
108CC5-BU-8
108CC5-TG-1
108CC5-TG-2
108CC5-TG-3
108CC5-TG-4
108CC5T-BU-1
108CC5T-BU-4
10A4E11
10A5H3
10A5H5
10A6 [Mouse hybridoma against B.germanica Bla g 1]
10A6 [Mouse hybridoma against G.vaginalis vaginolysin]
10A6 [Mouse hybridoma against MTPS]
10B/2C
10B11
10B12
10B1A2
10B5.B4
10B6
10B6D1
10B8
10B9
10B9-B6
10B9-F6
10B9.E8
10C11
10C3
10C4.1.3
10C4D5
10C5.6
10C7
10C8
10C9 [Mouse hybridoma against aflatoxins]
10C9 [Mouse hybridoma against ciguatoxin CTX3C]
10C9 [Mouse hybridoma against Drosophila lmb]
10d
10D2F6
10D3
10D3G2
10D4
10E2 [Mouse embryo]
10E2 [Mouse hybridoma against alprenolol]
10E3-17
10E4
10E5
10E9
10F10
10F10-C1-B8
10F11.B2.C3
10F2-13
10F5
10F7 [Mouse hybridoma against influenza A virus HA]
10F7 [Mouse hybridoma against phOX]
10F7-38
10F7MN
10F8
10F8A
10G10
10G10.15.16
10G2
10G4
10G5
10H
10H-2
10H2-C6
10H2.12.1
10H2.2F12
10H3
10H4
10P12
10P2
10P8
11-1H
11-26c
11-4.1
11-5.2.1.9
11-5F
11-A6
11-C2
11-C5
11-D3
11/32
11/34
11/64
11/9
11.9
110-5
1107F-HA
110BH3
1116-56-2
1116NS-19-9
1116NS-3d
111A3
113F1
114-50D4
114-50G2
116
116-13.1
116.4
117-13
117.1
117F9
119D11
11A
11A-A11
11A10
11A11
11A7
11A8
11A9
11B11
11B5
11BD-2E11-2
11C11B11
11C7
11C9
11D12
11D7
11E10
11E12
11E4
11E9
11F11 [Mouse hybridoma against chicken IFNK]
11F11 [Mouse hybridoma against phage 933W stxA2]
11F4
11F6
11F9
11G1
11G11
11G3
11G5
11G5G1B11
11G7
11H4.4
11H4-1C7
11H9 [Mouse hybridoma against human CA9]
11H9 [Mouse hybridoma against human DPP4]
11P0-1
11R2F8.9
12-120-94/6
12-1B6
12-2-2S (clone 5F11)
12-24
12-40
12-A-3
12.1 [Mouse hybridoma against human CD6]
12.1 [Mouse hybridoma against human ENOX2]
12.2
12.5
12/101
12/44
12/49
120.545
120G8
120H7
121-15B10
121-19B10
121-1F9
121-3H5
121-4F8
121-5E5
121-8D8
121-9E5
121-9G10
122F9
123-10
123-28
123-353-1
124-11-2
1246
1246-3A
125-27
125A8-1-11
125M10AA
125M165DAAA
125M96ABA
125N26F6AA
125Q47BA
125Q54AAAA
125R5AAAA
127-24C7
127-24E11
127-38G2
127-42C11
127-50D12
127-50D4
127-53F8
127-60F3
127A
127H
127TAg
128-2
129A3/1
129fc-1
129fc-2
12A5B7
12A7
12B2
12B2E1
12C1
12C2 [Mouse hybridoma against bovine NEFL]
12C2 [Mouse hybridoma against T-2 mycotoxin]
12C4
12C4G12
12C6
12C6c
12C7
12C9
12D4
12E1
12E3B
12F11
12G10
12G5
12G7
12H1.B1
12H11
12H4.11.3
12H5
12H6G1
12H8
12H8-B11
12H9
12R13D7.2
13-2
13-5-9-6-2
13-975-157
13.1
13.90.2
130-3-F7-5
130-80-2
1308.1
130C3/2B/8
131-94H4
131.2F8.5.9
131C3
132-1C8
132-7C9
132C4A/4
133
133-10F6
133-1E10
133-6C10
133A2
133B
134.6
135D5-1-12
136-13
136-3
137-2-1
137-26
139A
13B11 [Mouse hybridoma against A.aegypti]
13B11 [Mouse hybridoma against chicken IL10]
13B7
13C2
13C4
13C9
13D1
13D10
13D11
13D4 [Mouse hybridoma against influenza A virus HA]
13D4 [Mouse hybridoma against phOX]
13D8
13F10
13F3
13F7.B6.A7
13G3
13G4
13G5-52
13G5-57
13G7
13G9
14-1.6
14-1350-210
14-153-234
14-4-4S
14.1 [Mouse hybridoma against human FCAR]
14.1 [Mouse hybridoma against levan]
14.18
14.6b.1
14.7.1
14.8
14.G2a
140-1
140-2
140A7
141-32
1410 KG7
141PF11
142-24E5
143-2-A6-11
143-4-2
145-2C11
146-03E04
146-17A3
146-8D11
147-67C6
1471.1 [Mouse hybridoma against levan]
1471.1 [Mouse mammary gland cancer]
147A
14A12G11
14A2.H1
14A3
14A8-85
14B1
14B2
14C12
14C2
14C3
14C7
14C8
14D10
14D2.D6
14D7
14E4
14E5
14F
14F10
14F7
14F8
14H9
14M
14M1
15-1
15-1-5P
15-23-3
15-3-1S
15-5-5S
15-56-1
15-79-2
15-79-6
15-8-6-5
15.84.4
