From	Entry	GeneID	Reviewed
A1BG	P04217	1;	reviewed
A1BG	M0R009		unreviewed
A1CF	Q9NQ94	29974;	reviewed
A1CF	F8W9F8	29974;	unreviewed
A1CF	Q5T0W7		unreviewed
A1CF	Q7Z2U9		unreviewed
A2M	P01023	2;	reviewed
A2M	F5H1E8		unreviewed
A2M	F8W7L3		unreviewed
A2M	H0YFH1		unreviewed
A2M	L0R6B6		unreviewed
A2M	Q9BQ22		unreviewed
A2ML1	A8K2U0	144568;	reviewed
A2ML1	F5GXP1		unreviewed
A2ML1	F5GYG7		unreviewed
A2ML1	H0YGG5		unreviewed
A2ML1	H0YH14		unreviewed
A4GALT	Q9NPC4	53947;	reviewed
A4GALT	A0A0S2Z5J1	53947;	unreviewed
A4GALT	A0A0S2Z671		unreviewed
A4GALT	A0A192ZI69		unreviewed
A4GALT	B0L3P6		unreviewed
A4GALT	B0L3P7		unreviewed
A4GALT	F2VPV4		unreviewed
A4GALT	F2VPV5		unreviewed
A4GALT	M1KVK7		unreviewed
A4GALT	Q540I5		unreviewed
A4GALT	Q540I6		unreviewed
A4GALT	Q5D079		unreviewed
A4GALT	Q6RJV6		unreviewed
A4GALT	Q6RJV7		unreviewed
A4GALT	Q6RJV8		unreviewed
A4GALT	Q6RJV9		unreviewed
A4GALT	Q6RJW0		unreviewed
A4GALT	Q6RJW1		unreviewed
A4GALT	Q7Z2I1		unreviewed
A4GALT	Q7Z7C2		unreviewed
A4GALT	Q7Z7C3		unreviewed
A4GALT	Q7Z7C4		unreviewed
A4GALT	Q7Z7C5		unreviewed
A4GALT	Q7Z7C6		unreviewed
A4GALT	R4X5Z8		unreviewed
A4GALT	S6CPX2		unreviewed
A4GALT	S6CQ09		unreviewed
A4GALT	S6CQT5		unreviewed
A4GALT	S6CRD2		unreviewed
AAAS	Q9NRG9	8086;	reviewed
AAAS	D9DBS9		unreviewed
AAAS	D9DBT0		unreviewed
AAAS	D9DBT1		unreviewed
AAAS	D9DBT2		unreviewed
AAAS	D9DBT3		unreviewed
AAAS	F8VUB6		unreviewed
AAAS	F8VZ44		unreviewed
AAAS	H3BU82		unreviewed
AACS	Q86V21	65985;	reviewed
AACS	A0A5A4UB59		unreviewed
AACS	E7EW25		unreviewed
AACS	L8ECK1		unreviewed
AACS	Q49AJ4		unreviewed
AADAC	P22760	13;	reviewed
AADAC	C9K0E9		unreviewed
AADACL2	Q6P093	344752;	reviewed
AADACL2	F8WFE5		unreviewed
AADAT	Q8N5Z0	51166;	reviewed
AADAT	D6RC56		unreviewed
AADAT	D6REB9		unreviewed
AADAT	D6RFY7		unreviewed
AADAT	Q4W5N8	51166;	unreviewed
AAGAB	Q6PD74	79719;	reviewed
AAGAB	H0YL49		unreviewed
AAK1	Q2M2I8	22848;	reviewed
AAK1	A0A096LNZ0		unreviewed
AAK1	A0A096LP25		unreviewed
AAK1	A0A096LP60		unreviewed
AAK1	B7ZLC4		unreviewed
AAK1	E9PG46		unreviewed
AAK1	L0R804		unreviewed
AAK1	Q9BUD9		unreviewed
AAMDC	Q9H7C9	28971;	reviewed
AAMDC	E9PIQ4		unreviewed
AAMDC	E9PJP1		unreviewed
AAMDC	E9PLK9	28971;	unreviewed
AAMDC	E9PNP3		unreviewed
AAMDC	E9PR47		unreviewed
AAMDC	H0YF35		unreviewed
AAMDC	K4DI89	28971;	unreviewed
AAMP	Q13685	14;	reviewed
AAMP	C9JEH3	14;	unreviewed
AAMP	C9JG97		unreviewed
AAMP	C9JTS3		unreviewed
AAMP	H7C0R2		unreviewed
AANAT	Q16613	15;	reviewed
AANAT	F1T0I5	15;	unreviewed
AANAT	K7ERF6		unreviewed
AANAT	K7ESH7		unreviewed
AANAT	Q9GZS4		unreviewed
AANAT	Q9H3S9		unreviewed
AANAT	Q9H3T0		unreviewed
AANAT	Q9H3T1		unreviewed
AAR2	Q9Y312	25980;	reviewed
AAR2	A0A7P0T8J7		unreviewed
AAR2	A0A7P0TA70		unreviewed
AAR2	A2A2Q9		unreviewed
AARD	Q4LEZ3	441376;	reviewed
AARS1	P49588	16;	reviewed
AARS1	A0A6Q8PF33		unreviewed
AARS1	A0A6Q8PF77		unreviewed
AARS1	A0A6Q8PFK3		unreviewed
AARS1	A0A6Q8PFY2		unreviewed
AARS1	A0A6Q8PG28		unreviewed
AARS1	A0A6Q8PG62		unreviewed
AARS1	A0A6Q8PGB5		unreviewed
AARS1	A0A6Q8PGE8		unreviewed
AARS1	A0A6Q8PGI8		unreviewed
AARS1	A0A6Q8PGN5		unreviewed
AARS1	A0A6Q8PGR9		unreviewed
AARS1	A0A6Q8PH44		unreviewed
AARS1	A0A6Q8PHJ2		unreviewed
AARS1	A0A6Q8PHN5		unreviewed
AARS1	A0A6Q8PHP3		unreviewed
AARS1	A0A6Q8PHP7		unreviewed
AARS1	H3BPK7		unreviewed
AARS2	Q5JTZ9	57505;	reviewed
AARS2	A2VCL8		unreviewed
AARSD1	Q9BTE6	100885850;80755;	reviewed
AARSD1	H7C1K1		unreviewed
AARSD1	K7EQ85		unreviewed
AARSD1	K7N799		unreviewed
AARSD1	L7N2F4		unreviewed
AARSD1	L7N2F5		unreviewed
AASDH	Q4L235	132949;	reviewed
AASDH	D6RJA2		unreviewed
AASDH	E9PH98		unreviewed
AASDH	R4GNB1	132949;	unreviewed
AASDHPPT	Q9NRN7	60496;	reviewed
AASDHPPT	E9PLW6		unreviewed
AASDHPPT	E9PNF3		unreviewed
AASS	Q9UDR5	10157;	reviewed
AASS	A0A7P0T834		unreviewed
AASS	A0A7P0T8W7		unreviewed
AASS	A0A7P0T9N4		unreviewed
AASS	A0A7P0TA09		unreviewed
AASS	A0A7P0TA62		unreviewed
AASS	A0A7P0TAY5		unreviewed
AASS	A0A7P0TB07		unreviewed
AASS	A0A7P0TBD2		unreviewed
AASS	A0A7P0Z402		unreviewed
AASS	A0A7P0Z428		unreviewed
AASS	A0A7P0Z4M3		unreviewed
AASS	A4D0W4	10157;	unreviewed
AASS	F8WAH1		unreviewed
AASS	F8WE53		unreviewed
AATF	Q9NY61	26574;	reviewed
AATF	A0A087WTH8		unreviewed
AATF	A0A087WW41		unreviewed
AATF	A0A087WWS8		unreviewed
AATF	A0A0J9YWE9		unreviewed
AATF	A0A7P0T868		unreviewed
AATF	A0A7P0TAR0		unreviewed
AATF	A0A7P0TBG4		unreviewed
AATF	A0A7P0TBI0		unreviewed
AATF	A0A7P0Z434		unreviewed
AATF	A0A7P0Z4N2		unreviewed
AATF	A0A7P0Z4P2		unreviewed
AATK	Q6ZMQ8	9625;	reviewed
AATK	A0A3B3ISA0		unreviewed
AATK	A0A3B3ISC2		unreviewed
AATK	A0A3B3ISX0		unreviewed
AATK	H7C175	9625;	unreviewed
AATK	I3L360		unreviewed
AATK	I3L461		unreviewed
ABAT	P80404	18;	reviewed
ABAT	H3BMJ9		unreviewed
ABAT	H3BNQ7		unreviewed
ABAT	H3BP74		unreviewed
ABAT	H3BP84		unreviewed
ABAT	H3BPW8		unreviewed
ABAT	H3BRJ1		unreviewed
ABAT	H3BRN4		unreviewed
ABAT	H3BRT1		unreviewed
ABAT	X5D2Y3		unreviewed
ABAT	X5D8S1	18;	unreviewed
ABCA1	O95477	19;	reviewed
ABCA1	A0A7I2V5U0		unreviewed
ABCA1	A5D8U6		unreviewed
ABCA1	B1AMI1		unreviewed
ABCA1	B1AMI2		unreviewed
ABCA1	B2RUU2	19;	unreviewed
ABCA1	B7XCW9	19;	unreviewed
ABCA1	L8E884		unreviewed
ABCA1	Q9NP93		unreviewed
ABCA10	Q8WWZ4	10349;	reviewed
ABCA10	E5RFN6		unreviewed
ABCA10	E5RFP5		unreviewed
ABCA10	H0YBL8		unreviewed
ABCA10	K7EMH5		unreviewed
ABCA10	K7ERP5		unreviewed
ABCA13	Q86UQ4	154664;	reviewed
ABCA13	A0A0A0MT16	154664;	unreviewed
ABCA13	F5H7B7		unreviewed
ABCA13	H0Y4D2		unreviewed
ABCA13	H7BZI9		unreviewed
ABCA13	H7C0U5		unreviewed
ABCA13	L8E9N5		unreviewed
ABCA2	Q9BZC7	20;	reviewed
ABCA2	A0A087WXK5		unreviewed
ABCA2	E9PGB2		unreviewed
ABCA2	H0Y8C9		unreviewed
ABCA2	H0Y8D6		unreviewed
ABCA2	H0Y8E3		unreviewed
ABCA2	H7C5M6		unreviewed
ABCA2	Q08EJ9		unreviewed
ABCA2	Q13039		unreviewed
ABCA2	Q6P2G5		unreviewed
ABCA2	Q96HC2		unreviewed
ABCA3	Q99758	21;	reviewed
ABCA3	A7MBM9		unreviewed
ABCA3	H0Y3H2		unreviewed
ABCA4	P78363	24;	reviewed
ABCA4	A0A3B3IRV8		unreviewed
ABCA5	Q8WWZ7	23461;	reviewed
ABCA5	A0A075B778		unreviewed
ABCA5	K7EJW6		unreviewed
ABCA5	K7EKS9		unreviewed
ABCA5	K7EMV2		unreviewed
ABCA5	K7ENF9		unreviewed
ABCA5	K7EPM3		unreviewed
ABCA5	K7EQ50		unreviewed
ABCA5	Q05C38		unreviewed
ABCA5	Q6N017		unreviewed
ABCA6	Q8N139	23460;	reviewed
ABCA6	A4FVC6		unreviewed
ABCA7	Q8IZY2	10347;	reviewed
ABCA7	A0A087WX86		unreviewed
ABCA7	A0A087WZX6		unreviewed
ABCA7	A0A6E1ZGS3		unreviewed
ABCA7	E9PKG5		unreviewed
ABCA7	E9PL63		unreviewed
ABCA7	H0YCN5		unreviewed
ABCA7	H0YF58		unreviewed
ABCA7	L8EB07		unreviewed
ABCA8	O94911	10351;	reviewed
ABCA8	A0A075B774		unreviewed
ABCA8	A0A0A0MSU4	10351;	unreviewed
ABCA8	K7ELK9		unreviewed
ABCA8	Q49AI9		unreviewed
ABCB1	P08183	5243;	reviewed
ABCB1	A1L471		unreviewed
ABCB1	A4D1D2	5243;	unreviewed
ABCB1	A8E2S6		unreviewed
ABCB1	B5U2G4		unreviewed
ABCB1	E7EWT8		unreviewed
ABCB1	F4ZUQ5		unreviewed
ABCB1	F4ZUT2		unreviewed
ABCB1	F4ZUV0		unreviewed
ABCB1	F4ZUV4		unreviewed
ABCB1	F4ZUX9		unreviewed
ABCB1	F4ZUY5		unreviewed
ABCB1	F4ZV79		unreviewed
ABCB1	Q6TBL4		unreviewed
ABCB10	Q9NRK6	23456;	reviewed
ABCB11	O95342	8647;	reviewed
ABCB11	A0A2U9Q1W5		unreviewed
ABCB11	A0A3B3IS78		unreviewed
ABCB11	A0A3B3ISD4		unreviewed
ABCB11	A0A3B3ITV9		unreviewed
ABCB11	H7C486		unreviewed
ABCB11	Q53S60		unreviewed
ABCB4	P21439	5244;	reviewed
ABCB4	A0A2R8Y291		unreviewed
ABCB4	A0A2R8Y8A1		unreviewed
ABCB4	A7J1Q3		unreviewed
ABCB4	A7J1Q4		unreviewed
ABCB4	A7J1Q5		unreviewed
ABCB4	A7J1Q6		unreviewed
ABCB4	A7J1Q7		unreviewed
ABCB4	A7J1Q8		unreviewed
ABCB4	A7J1Q9		unreviewed
ABCB4	A7J1R0		unreviewed
ABCB4	A7J1R1		unreviewed
ABCB4	A7J1R2		unreviewed
ABCB4	A7J1R3		unreviewed
ABCB4	A7J1R4		unreviewed
ABCB4	A7J1R5		unreviewed
ABCB4	A7J1R6		unreviewed
ABCB4	A7J1R7		unreviewed
ABCB4	A7J1R8		unreviewed
ABCB4	A7J1R9		unreviewed
ABCB4	A7J1S0		unreviewed
ABCB4	A7J1S1		unreviewed
ABCB4	A7J1S2		unreviewed
ABCB4	A7J1S3		unreviewed
ABCB4	A7J1S4		unreviewed
ABCB4	A7J1S5		unreviewed
ABCB4	A7K6Y6		unreviewed
ABCB4	A8HT68		unreviewed
ABCB4	A8HT72		unreviewed
ABCB4	E5LR39		unreviewed
ABCB4	E7EQI1		unreviewed
ABCB4	H7C0M2		unreviewed
ABCB4	Q4G0Q4		unreviewed
ABCB4	Q6PJ81		unreviewed
ABCB4	Q75MQ5		unreviewed
ABCB4	V5N6U4		unreviewed
ABCB5	Q2M3G0	340273;	reviewed
ABCB5	A0ASV4		unreviewed
ABCB5	H7C165		unreviewed
ABCB6	Q9NP58	10058;	reviewed
ABCB6	A0A1D9ITY9		unreviewed
ABCB6	A0A6B9LUA1		unreviewed
ABCB6	A0A6B9LUM2		unreviewed
ABCB6	H7C049		unreviewed
ABCB6	H7C1R6		unreviewed
ABCB6	H7C245		unreviewed
ABCB6	H7C3Z0		unreviewed
ABCB6	U3TD89		unreviewed
ABCB6	U3TGG4		unreviewed
ABCB6	U3THN0		unreviewed
ABCB6	U3THP2		unreviewed
ABCB6	U3TJJ6		unreviewed
ABCB6	U3TJK0		unreviewed
ABCB7	O75027	22;	reviewed
ABCB7	A0A087WW65	22;	unreviewed
ABCB7	A0A0S2Z2W5		unreviewed
ABCB7	A0A0S2Z2Z3	22;	unreviewed
ABCB7	A0A0S2Z367		unreviewed
ABCB7	A0A0S2Z376		unreviewed
ABCB7	A0A2R8Y3N2		unreviewed
ABCB7	A0A2R8Y473		unreviewed
ABCB7	A0A2R8YF35		unreviewed
ABCB7	A0A590UJS8		unreviewed
ABCB7	A0A5F9ZA98		unreviewed
ABCB7	B4DGL8		unreviewed
ABCB7	E9PJR8		unreviewed
ABCB7	E9PNQ5		unreviewed
ABCB8	Q9NUT2	11194;	reviewed
ABCB8	C9JA03		unreviewed
ABCB8	C9JTY4		unreviewed
ABCB8	C9JYI3		unreviewed
ABCB8	F2Z2Z1		unreviewed
ABCB8	F2Z3G8		unreviewed
ABCB8	F8WC43		unreviewed
ABCB8	H7C5K9		unreviewed
ABCB8	L8EAK9		unreviewed
ABCB9	Q9NP78	23457;	reviewed
ABCB9	F5GX86		unreviewed
ABCB9	F5GXZ5		unreviewed
ABCB9	F5GYI2		unreviewed
ABCB9	F5H0G0		unreviewed
ABCB9	F5H4Y2		unreviewed
ABCB9	F5H5F9		unreviewed
ABCB9	F5H5I5		unreviewed
ABCB9	F5H5Q0		unreviewed
ABCB9	F5H7U2		unreviewed
ABCB9	H7C478		unreviewed
ABCB9	Q6P2Q0		unreviewed
ABCC1	P33527	4363;	reviewed
ABCC1	A0A0A0MS99		unreviewed
ABCC1	A0A7I2V2E0		unreviewed
ABCC1	A0A7I2V4C6		unreviewed
ABCC1	G0ZCM3		unreviewed
ABCC1	G0ZCM4		unreviewed
ABCC1	G0ZCM5		unreviewed
ABCC1	G0ZCM6		unreviewed
ABCC1	I3L4X2		unreviewed
ABCC10	Q5T3U5	89845;	reviewed
ABCC10	D6R9B3		unreviewed
ABCC10	H0Y904		unreviewed
ABCC11	Q96J66	85320;	reviewed
ABCC11	H3BRJ2		unreviewed
ABCC2	Q92887	1244;	reviewed
ABCC2	A0A3B3IRU4		unreviewed
ABCC2	A0A3B3IRZ2		unreviewed
ABCC2	A0A3B3IS94		unreviewed
ABCC2	A0A3B3ITG8		unreviewed
ABCC3	O15438	8714;	reviewed
ABCC3	D6RAB7		unreviewed
ABCC3	D6RJE5		unreviewed
ABCC3	H0Y8Q6		unreviewed
ABCC3	H0Y8T5		unreviewed
ABCC3	H0Y9T4		unreviewed
ABCC3	Q2M3C9		unreviewed
ABCC3	Q86VN9	8714;	unreviewed
ABCC4	O15439	10257;	reviewed
ABCC4	A0A2R8Y5Z3		unreviewed
ABCC4	A0A2R8Y6V8		unreviewed
ABCC4	A0A2R8YDC1		unreviewed
ABCC4	A0A2R8YDG7		unreviewed
ABCC4	A0A5C0NTB8		unreviewed
ABCC4	Q8IUA3		unreviewed
ABCC4	Q8IWU1		unreviewed
ABCC5	O15440	10057;	reviewed
ABCC5	A5PKY6		unreviewed
ABCC5	C9JZL5		unreviewed
ABCC5	E9PET4		unreviewed
ABCC5	F8WCY8		unreviewed
ABCC5	F8WDH3		unreviewed
ABCC5	H7C271		unreviewed
ABCC6	O95255	368;	reviewed
ABCC6	A0A0G2JMG3		unreviewed
ABCC6	A0A0J9YVW5		unreviewed
ABCC6	A0A1W2PPQ8		unreviewed
ABCC6	A0A804HJ04		unreviewed
ABCC6	A0A8C8Q0G8		unreviewed
ABCC6	I3L1Z6		unreviewed
ABCC8	Q09428	6833;	reviewed
ABCC8	A0A220SZZ5		unreviewed
ABCC8	A0A2R8Y3M7		unreviewed
ABCC8	A0A2R8Y475		unreviewed
ABCC8	A0A2R8Y4V0		unreviewed
ABCC8	A0A2R8Y4Z4		unreviewed
ABCC8	A0A2R8Y5D8		unreviewed
ABCC8	A0A2R8Y5I7		unreviewed
ABCC8	A0A2R8Y5V4		unreviewed
ABCC8	A0A2R8Y5X1		unreviewed
ABCC8	A0A2R8Y605		unreviewed
ABCC8	A0A2R8Y698		unreviewed
ABCC8	A0A2R8Y6B7		unreviewed
ABCC8	A0A2R8Y6I7		unreviewed
ABCC8	A0A2R8Y6Q0		unreviewed
ABCC8	A0A2R8Y775		unreviewed
ABCC8	A0A2R8Y781		unreviewed
ABCC8	A0A2R8Y7I1		unreviewed
ABCC8	A0A2R8YCG4		unreviewed
ABCC8	A0A2R8YD94		unreviewed
ABCC8	A0A2R8YDB5		unreviewed
ABCC8	A0A2R8YDE9		unreviewed
ABCC8	A0A2R8YDG0		unreviewed
ABCC8	A0A2R8YDG6		unreviewed
ABCC8	A0A2R8YDX3		unreviewed
ABCC8	A0A2R8YEE5		unreviewed
ABCC8	A0A2R8YFB3		unreviewed
ABCC8	A0A2R8YFU3		unreviewed
ABCC8	A0A2R8YG67		unreviewed
ABCC8	A0A2R8YGQ6		unreviewed
ABCC8	A0A2R8YHG6		unreviewed
ABCC8	A0A804HI74		unreviewed
ABCC8	A0A804HJG5		unreviewed
ABCC8	A0A804HJH4		unreviewed
ABCC8	A0A804HJZ2		unreviewed
ABCC8	A0A804HK47		unreviewed
ABCC8	A0A804HK92		unreviewed
ABCC8	A0A804HL76		unreviewed
ABCC8	A0A804HLA1		unreviewed
ABCC8	E9PK50		unreviewed
ABCC8	H0YDH8		unreviewed
ABCC8	H0YE33		unreviewed
ABCC8	H0YEA9		unreviewed
ABCC8	H0YF51		unreviewed
ABCC9	O60706	10060;	reviewed
ABCC9	A0A7R6M6P4		unreviewed
ABCC9	A0A7R6M6P9		unreviewed
ABCC9	A0A7R6M6Q9		unreviewed
ABCC9	A0A804HHX2		unreviewed
ABCC9	A0A804HIU2		unreviewed
ABCC9	A0A804HK56		unreviewed
ABCC9	A0A804HKB7		unreviewed
ABCC9	A0A804HL22		unreviewed
ABCC9	A0A804HL58		unreviewed
ABCC9	G3V1N6		unreviewed
ABCC9	H0YFV4		unreviewed
ABCC9	Q8N4N7		unreviewed
ABCD1	P33897	215;	reviewed
ABCD1	A6NEP8		unreviewed
ABCD1	L8E9C7		unreviewed
ABCD1	Q2PRN6		unreviewed
ABCD2	Q9UBJ2	225;	reviewed
ABCD3	P28288	5825;	reviewed
ABCD3	A0A3B3ITW3		unreviewed
ABCD4	O14678	5826;	reviewed
ABCD4	E9PI46		unreviewed
ABCD4	E9PPB6		unreviewed
ABCD4	G3V3W1		unreviewed
ABCD4	G3V4U7		unreviewed
ABCD4	H0YCY9		unreviewed
ABCD4	H0YJ78		unreviewed
ABCD4	H0YJ82		unreviewed
ABCD4	H0YJL8		unreviewed
ABCD4	H0YJX8		unreviewed
ABCE1	P61221	6059;	reviewed
ABCE1	D6R9I9		unreviewed
ABCE1	D6RGF4		unreviewed
ABCE1	H0Y990		unreviewed
ABCF1	Q8NE71	23;	reviewed
ABCF1	A0A0G2JIC2		unreviewed
ABCF1	A0A0G2JJB9		unreviewed
ABCF1	A0PJ72		unreviewed
ABCF1	F5GYK6		unreviewed
ABCF1	H0YGW7		unreviewed
ABCF1	L0R6B8		unreviewed
ABCF1	Q2L6I2	23;	unreviewed
ABCF1	Q5STZ8		unreviewed
ABCF2	Q9UG63	10061;114483834;	reviewed
ABCF2	A0A090N7X1	10061;	unreviewed
ABCF2	A0A090N7Y2	114483834;	unreviewed
ABCF2	C9JHK9		unreviewed
ABCF2	C9JZV3		unreviewed
ABCF2	L0R4T3		unreviewed
ABCF3	Q9NUQ8	55324;	reviewed
ABCF3	A0A0S2Z5L1	55324;	unreviewed
ABCF3	A0A0S2Z645		unreviewed
ABCF3	F8WCU6		unreviewed
ABCG1	P45844	9619;	reviewed
ABCG1	C9JKD9		unreviewed
ABCG1	E9PGV9		unreviewed
ABCG2	Q9UNQ0	9429;	reviewed
ABCG2	F8S0F2		unreviewed
ABCG2	F8S0F6		unreviewed
ABCG2	F8S0F7		unreviewed
ABCG2	I4EPX2		unreviewed
ABCG2	I7JB59		unreviewed
ABCG2	Q8WZ76		unreviewed
ABCG4	Q9H172	64137;	reviewed
ABCG4	E9PJ00		unreviewed
ABCG5	Q9H222	64240;	reviewed
ABCG5	Q53QN9		unreviewed
ABCG5	Q53T83		unreviewed
ABCG8	Q9H221	64241;	reviewed
ABCG8	A0A2R8Y6M1		unreviewed
ABCG8	B7ZL41		unreviewed
ABCG8	Q14CR0		unreviewed
ABCG8	Q96A01		unreviewed
ABHD1	Q96SE0	84696;	reviewed
ABHD1	A0A140VJD1	84696;	unreviewed
ABHD1	C9J8C2		unreviewed
ABHD1	F8WBB3		unreviewed
ABHD10	Q9NUJ1	55347;	reviewed
ABHD10	F8WBJ5		unreviewed
ABHD10	F8WBQ6		unreviewed
ABHD11	Q8NFV4	83451;	reviewed
ABHD11	C9J7Q4		unreviewed
ABHD11	H0YC52		unreviewed
ABHD11	H7BZ58		unreviewed
ABHD11	H7C396		unreviewed
ABHD12	Q8N2K0	26090;	reviewed
ABHD12	A0A5F9ZGT4		unreviewed
ABHD12	A0A5F9ZGW7		unreviewed
ABHD12	A0A5F9ZGZ9		unreviewed
ABHD12	A0A5F9ZH28		unreviewed
ABHD12	A0A5F9ZH49		unreviewed
ABHD12	A0A5F9ZH71		unreviewed
ABHD12	A0A5F9ZHB5		unreviewed
ABHD12	A0A5F9ZHE8		unreviewed
ABHD12	A0A5F9ZHF0		unreviewed
ABHD12	A0A5F9ZHG5		unreviewed
ABHD12	A0A5F9ZHH2		unreviewed
ABHD12	A0A5F9ZHM3		unreviewed
ABHD12	A0A5F9ZHQ0		unreviewed
ABHD12	A0A5F9ZHQ8		unreviewed
ABHD12	I3L1V0		unreviewed
ABHD12	I3L206		unreviewed
ABHD12	I3L294		unreviewed
ABHD12	I3L380		unreviewed
ABHD12	I3L440		unreviewed
ABHD12	Q5T712		unreviewed
ABHD12B	Q7Z5M8	145447;	reviewed
ABHD13	Q7L211	84945;	reviewed
ABHD14A	Q9BUJ0	25864;	reviewed
ABHD14A	C9IYJ8		unreviewed
ABHD14A	C9J7W8		unreviewed
ABHD14A	C9JMW6		unreviewed
ABHD14A-ACY1	A0A1B0GU64		unreviewed
ABHD14A-ACY1	A0A1B0GUT4		unreviewed
ABHD14A-ACY1	A0A1B0GV31		unreviewed
ABHD14A-ACY1	A0A1B0GVA5		unreviewed
ABHD14A-ACY1	A0A1B0GVC5		unreviewed
ABHD14A-ACY1	A0A1B0GVN8		unreviewed
ABHD14A-ACY1	A0A1B0GVQ8		unreviewed
ABHD14A-ACY1	A0A1B0GVW5		unreviewed
ABHD14A-ACY1	A0A1B0GW23		unreviewed
ABHD14A-ACY1	A0A1B0GW28		unreviewed
ABHD14A-ACY1	A0A1B0GWD9		unreviewed
ABHD14A-ACY1	C9JMV9		unreviewed
ABHD14A-ACY1	F2Z3Q0		unreviewed
ABHD14B	Q96IU4	84836;	reviewed
ABHD14B	B4DQI4		unreviewed
ABHD14B	F8W9U3		unreviewed
ABHD14B	V9HW87	84836;	unreviewed
ABHD15	Q6UXT9	116236;	reviewed
ABHD16A	O95870	7920;	reviewed
ABHD16A	A0A0G2JI89		unreviewed
ABHD16A	A0A0G2JJD3		unreviewed
ABHD16A	F2Z3G6		unreviewed
ABHD16A	F2Z3H2		unreviewed
ABHD16A	F2Z3Q3		unreviewed
ABHD17A	Q96GS6	81926;	reviewed
ABHD17A	A0A7I2YQW9		unreviewed
ABHD17A	K7ENJ6		unreviewed
ABHD17A	K7EQ25		unreviewed
ABHD17B	Q5VST6	51104;	reviewed
ABHD17C	Q6PCB6	58489;	reviewed
ABHD17C	H0YN98		unreviewed
ABHD18	Q0P651		reviewed
ABHD18	A0A2R8YEZ0		unreviewed
ABHD18	B7WP89		unreviewed
ABHD18	D6RD85		unreviewed
ABHD18	D6RGX5		unreviewed
ABHD2	P08910	11057;	reviewed
ABHD2	A0A024RC89	11057;	unreviewed
ABHD2	H3BMT2		unreviewed
ABHD2	H3BN19		unreviewed
ABHD2	H3BUZ6		unreviewed
ABHD3	Q8WU67	171586;	reviewed
ABHD3	J3KSP1	171586;	unreviewed
ABHD3	J3KTE1	171586;	unreviewed
ABHD3	J3QQR0		unreviewed
ABHD3	J3QR14		unreviewed
ABHD4	Q8TB40	63874;	reviewed
ABHD4	F5GZC9		unreviewed
ABHD4	F5H067		unreviewed
ABHD4	F5H6T0		unreviewed
ABHD4	H0YFD5		unreviewed
ABHD4	J3KMW0		unreviewed
ABHD5	Q8WTS1	51099;	reviewed
ABHD5	A0A0M3LN66		unreviewed
ABHD5	A0A0S2Z572		unreviewed
ABHD5	A0A0S2Z5D6	51099;	unreviewed
ABHD5	A0A2R8Y7S6		unreviewed
ABHD5	A0A2R8YER6		unreviewed
ABHD5	A0A2R8YEZ7		unreviewed
ABHD5	A0A2R8YG22		unreviewed
ABHD5	A0A2R8YG27		unreviewed
ABHD5	A0A2U3TZT9		unreviewed
ABHD5	A0A6B9MC78		unreviewed
ABHD5	A0A8E4IIP3		unreviewed
ABHD5	C9J1D1		unreviewed
ABHD5	C9JBM3		unreviewed
ABHD5	F6K7K2		unreviewed
ABHD5	F6K7K3		unreviewed
ABHD5	F6K7K4		unreviewed
ABHD5	F6K7K5		unreviewed
ABHD5	F8W7B5		unreviewed
ABHD5	H7BZY9		unreviewed
ABHD6	Q9BV23	57406;	reviewed
ABHD6	C9J010		unreviewed
ABHD6	C9JNE7		unreviewed
ABHD6	F8WBP4		unreviewed
ABHD8	Q96I13	79575;	reviewed
ABHD8	B2C6G3	79575;	unreviewed
ABHD8	M0QX40		unreviewed
ABHD8	M0QZA8		unreviewed
ABI1	Q8IZP0	10006;	reviewed
ABI1	A0A0A0MRT6		unreviewed
ABI1	B6VEX4	10006;	unreviewed
ABI1	L8EC66		unreviewed
ABI2	Q9NYB9	10152;	reviewed
ABI2	A0A0A0MQU9		unreviewed
ABI2	A0A0C4DG21	10152;	unreviewed
ABI2	A0A7D9NKC8	10152;	unreviewed
ABI2	E7EP65		unreviewed
ABI2	E7EUA1		unreviewed
ABI2	E7EW77		unreviewed
ABI2	E9PEZ7		unreviewed
ABI2	F8WAL6		unreviewed
ABI2	F8WAQ3		unreviewed
ABI2	F8WAU3		unreviewed
ABI2	F8WAZ8		unreviewed
ABI2	F8WBL5		unreviewed
ABI2	F8WCD7		unreviewed
ABI2	F8WEB9		unreviewed
ABI2	H0Y6B5		unreviewed
ABI2	H7C3Q7		unreviewed
ABI3	Q9P2A4	51225;	reviewed
ABI3	I3L1X2		unreviewed
ABI3	I3L3W4		unreviewed
ABI3	L8ECG8		unreviewed
ABI3BP	Q7Z7G0	25890;	reviewed
ABI3BP	A0A1S5UZ16		unreviewed
ABI3BP	A0AA34QVJ5		unreviewed
ABI3BP	D3YTG3		unreviewed
ABI3BP	E9PPR9		unreviewed
ABI3BP	E9PRB5		unreviewed
ABI3BP	F6R962		unreviewed
ABI3BP	H0Y897		unreviewed
ABI3BP	H0YCG4		unreviewed
ABI3BP	H0YCP4		unreviewed
ABI3BP	H0YDN0		unreviewed
ABI3BP	H0YEA0		unreviewed
ABI3BP	H0YEL2		unreviewed
ABI3BP	H0YF18		unreviewed
ABI3BP	H0YF57		unreviewed
