#15310-LN
#W7079
(L)PC6
0.5alpha
00-143
00136
0162D
0165D
017-PC-A
017-PC-M
017-PC-O
01Abic immortal clone #2
01Abic immortal clone #6
0225-02Sp
03-01 fibroblast
03-01 iPS #2
03-01 iPS #3
03-01 iPS #4
03-01 iPS #9
03-02 fibroblast
03-02 iPS #2B
03-02 iPS #5
03-02 iPS #8
03-02 iPS #9
03-03 fibroblast
03-03 iPS #2
03-03 iPS #3
03-03 iPS #4
03-04 fibroblast
03-04 iPS #1
03-04 iPS #3
03-04 iPS #5
03-04 iPS #6
0308
031M-CUMC/INSERM
0342 mel
0467.3
04T036
051407cb
066MD-CUMC/INSERM
07-01 fibroblast
07-01 iPS #1
07-01 iPS #2
07-01 iPS #4
07-02 fibroblast
07-02 iPS #10
07-02 iPS #3
07-02 iPS #5
07-03 fibroblast
07-03 iPS #3
07-03 iPS #7
07-03 iPS #9
07-S-0025#0100
0822
090727 LQT3/BrS g1
090727 LQT3/BrS g2
09097B
09097C
1-11
1-17
1-185-37
1-187-29
1-24
1-4
1-5c-4
1-87
1-A2
1-LN
1.11
1.18
1.1B4
1.1E7
1.24
1.26
1.2B4
1.4E7
10-15
10.014 pRSV-T
100-1#16
100-1#8
100-2#1
1000T
100213 LQT2 theta10
100213 LQT2 theta4
10063349
1007P
101-87T
1011-mel
1013
1013-4FA
1013L
1016T
1019SeVF
1020A1
1020A12
1020A3
1021-4F-B DiPS
1023SevF
1024-4F-A-DiPS
10249M
1026-3F-A MODY iPS
1026-3F-C MODY iPS
1027-3F-C-DiPS
1027B3
1027B4
1027B6
1028-3F-A-DiPS
103-LCL
1031SeVA
10326
1039A1
1041SeVF
10538P
105AJ
105AJ1.1
105AJ3.1
105AJ5.1
105KC
105MA
1061 mel
1066
1067 mel
1072F
1074-mel
1083933x
10843566
1088-mel
108Z
109-87T
10913246
1096
109MA
10B10
10C9 [Human lymphoma]
10CM
11 029
11 030
11 045
11 068
11 091
11-18
11-18-ER1-7
11-18-ER2-1
11-18-GEF10-1
11-18-GEF20-1
11-18/R
11-4
11-9-1-4
11-YX-1
110-87T
110119B
110131C
110150C
1102-mel
1106-mel
11060
110MA
111 BLCL
11169540
1120C12
1120C6
1120C7
1123-mel
1125
1127
11365
114-87T
1141 mel
1143-mel
1147F1
1156492+
1156D15
1156D2
1156D5
1156QE/8
11684232
1173-mel
1174
1174-mel
1180
1180-mel
1181
1181N1
1182-mel
11829109
1183
1184
11845457
119-87T
1195-mel
1196a
1199-mel
11a
11b
11c
11CM
11Z
12 040
12 041
12 046
12 058
12 059
12 060
12 073
12 075
12 079
1201C1
1205A
1205B
1205D1
1205Lu
1207
120816CT
120MA
1210B2
1218E
1221
1228
1231A3
12370
123MA
1242B
1249
124BR
124MA
1255O
1259-mel
125MA
126 BLCL
126-50
126-6
1263A18
126BR
126MA
127 BLCL
1273/99
1274A15
1274A8
1275A2
1275A3
1278-mel
127BR
128-88T
1280-mel
12827878
1286-mel
128BR
1287-mel
129 BLCL
129 Nu 5002-1 Tu
129 Nu 5010-5 Tu
129-CUMC/UF
1290-2
1290-mel
129BR
12CFBE22o-
12D7
12D7-MDR1
12S
12Z
12Z-GFP
13 019
13 025
13-9B
130 BLCL
1300-mel
1301
1301-U1
1301-U2
13041452
1306
1308-mel
130BR
130MA
131 BLCL
1317-mel
131BR
131MA
1321N1
1321N1 (+Galpha16) AequoScreen
1321N1 AequoScreen
1321N1 MRTFA KO
1321N1 P2RY1 Gq
1321N1 RHOA KO
1321N1 YAP1 KO
1321N1-HA-P2Y1
1321N1-HA-P2Y11
1321N1-HA-P2Y12
1321N1-HA-P2Y13
1321N1-HA-P2Y14
1321N1-HA-P2Y2
1321N1-HA-P2Y4
1321N1-HA-P2Y6
1321N1-MFSD1-KO-c12
1321N1-MFSD1-KO-c5
1321N1-NIPAL3-KO-c1
1321N1-NIPAL3-KO-c3
1321N1-NPC1-KO-c10
1321N1-NPC1-KO-c8
1321N1-SLC16A11-KO-c17
1321N1-SLC16A11-KO-c8
1321N1-SLC16A2-KO-c3
1321N1-SLC16A2-KO-c6
1321N1-SLC17A7-KO-c13
1321N1-SLC17A7-KO-c16
1321N1-SLC22A4-KO-c10
1321N1-SLC22A4-KO-c11
